transaction_id,user_id,payment_method_id,rating_id,status,type,shipping_address,explored_bandit_type
60,1692,2,5,purchased,pre-payment,"936 Flores Overpass
West James, KY 29969",bandit B
61,495,1,3,purchased,pre-payment,"170 Miller Plaza Apt. 593
Port Maryburgh, GU 66756",bandit B
62,1735,3,4,purchased,post-payment,"747 Amy Extension
Gilmorestad, MD 94739",bandit C
63,1978,4,4,purchased,post-payment,"3322 King Locks Suite 957
Amandaberg, WI 15886",bandit C
64,655,4,1,purchased,post-payment,"4281 Rhonda Track Apt. 444
Elliston, DC 06157",bandit C
65,722,3,5,purchased,pre-payment,"24972 William Summit Apt. 139
Lake Alexburgh, OH 22489",bandit A
66,1647,4,2,purchased,pre-payment,"12448 Kevin Locks Apt. 152
East Nathanborough, MN 03223",bandit B
67,769,1,2,purchased,pre-payment,"5393 Michael Inlet Apt. 368
Wayneberg, DC 52513",bandit A
68,96,1,4,returned,post-payment,"67140 Harris Plains
Zacharyport, SC 38397",bandit C
69,1711,3,5,purchased,post-payment,"457 Adams Neck
North Melvintown, PW 55401",bandit C
70,1306,4,3,purchased,pre-payment,"PSC 2744, Box 7772
APO AA 21469",bandit B
71,1480,3,1,purchased,pre-payment,"8021 Michelle Crossing Suite 491
South Nathan, HI 32881",bandit B
72,9,3,2,canceled,post-payment,"0855 Ortiz Fort
Lake Stevenshire, WI 83350",bandit C
73,1100,2,3,purchased,pre-payment,"PSC 5461, Box 4066
APO AE 62989",bandit B
74,286,2,3,purchased,pre-payment,"Unit 7302 Box 4947
DPO AP 86948",bandit A
75,229,2,2,purchased,pre-payment,"5452 Garrett Orchard Suite 293
Mercadohaven, SC 89428",bandit A
76,211,4,3,purchased,pre-payment,"0562 Kimberly Courts Suite 594
New Philipport, IA 94031",bandit B
77,1502,2,2,canceled,post-payment,"1711 Joshua Tunnel Apt. 955
Ryanside, RI 75090",bandit B
78,30,3,3,purchased,pre-payment,"PSC 9635, Box 6290
APO AE 76133",bandit B
79,1113,4,5,purchased,pre-payment,"36066 Joshua Union Apt. 607
North Eric, MN 01604",bandit B
80,1021,2,2,purchased,pre-payment,"94344 Kelly Village
Franklinbury, MT 68822",bandit B
81,979,3,5,canceled,post-payment,"97219 Carly Estate Apt. 970
East Kathleen, KY 36057",bandit B
82,1708,4,2,purchased,post-payment,"PSC 8551, Box 9060
APO AE 26024",bandit C
83,797,3,4,canceled,post-payment,"7448 Christopher Key
New Kathleen, NV 88003",bandit C
84,1368,1,5,purchased,post-payment,"40700 Day Junction Suite 925
East Sarahburgh, MO 38214",bandit B
85,1814,2,1,purchased,post-payment,"691 Sampson Crescent
South Kathleen, HI 76607",bandit C
86,691,1,2,purchased,pre-payment,"55492 Stephanie Views
East Stacey, MO 39492",bandit A
87,1574,3,5,purchased,post-payment,"8096 Melissa Station Apt. 734
Karenview, UT 66491",bandit C
88,68,3,1,purchased,post-payment,"154 Barrera Walks Apt. 207
Zacharyburgh, AL 51238",bandit C
89,287,4,1,purchased,pre-payment,"USNV Simmons
FPO AE 99724",bandit A
90,178,1,3,canceled,post-payment,"1123 Reed Gateway Suite 198
Karimouth, MS 94037",bandit B
91,646,2,3,purchased,pre-payment,"PSC 4179, Box 8093
APO AA 71645",bandit A
92,656,3,2,purchased,pre-payment,"8429 Theresa Shoals
Johnsonborough, OK 17638",bandit A
93,1246,3,4,purchased,post-payment,"2850 Watson Land
North Nicholas, UT 23596",bandit B
94,44,4,3,purchased,post-payment,"74362 Harris Ville
New Carl, PW 32014",bandit B
95,255,1,2,returned,pre-payment,"9360 Macias Loaf
Kennethfurt, PA 45547",bandit B
96,718,1,5,purchased,pre-payment,"6625 Barrera Locks Apt. 136
West Antonio, AR 69568",bandit B
97,1346,3,4,purchased,pre-payment,"415 David Bridge Apt. 040
New Ryanland, NC 55075",bandit A
98,263,1,4,purchased,pre-payment,"546 Ferguson Trail
Port Jennifer, PA 60604",bandit A
99,1887,1,5,purchased,pre-payment,"USCGC Rosario
FPO AA 46177",bandit A
100,912,1,1,purchased,post-payment,"2663 Jacob Row Apt. 463
West Sylvia, AS 73607",bandit C
101,835,2,2,canceled,post-payment,"Unit 9078 Box 3159
DPO AE 36333",bandit C
102,957,3,1,purchased,pre-payment,"0785 Daniel Hill
North Ericton, MT 99659",bandit B
103,182,2,1,canceled,post-payment,"19795 Dorsey Haven Suite 781
South Paula, IA 63053",bandit C
104,28,4,4,purchased,post-payment,"2128 Moon Place
Port Kimberly, IA 29095",bandit B
105,667,1,5,purchased,post-payment,"5014 Hicks Centers
Philliphaven, MS 44632",bandit B
106,731,4,4,purchased,pre-payment,"026 Reeves Route
Gonzalezchester, VA 75434",bandit A
107,1986,1,3,returned,pre-payment,"2774 Perkins Center
Michelletown, VI 40191",bandit B
108,452,4,5,canceled,post-payment,"002 Michael Pike
Karenshire, LA 47169",bandit C
109,1961,3,2,purchased,post-payment,"74870 Jason Ports
Roberttown, NJ 01588",bandit C
110,1797,1,2,returned,post-payment,"Unit 2785 Box 6475
DPO AP 16680",bandit B
111,1068,3,5,canceled,pre-payment,"896 Timothy Inlet
West Andretown, MA 31451",bandit A
112,1546,3,1,purchased,post-payment,"78538 Sharon Mills Suite 045
Lake Michaelville, WY 28830",bandit C
113,397,2,3,purchased,pre-payment,"9317 Tara Dam Suite 848
Bryantberg, AS 54925",bandit A
114,71,1,5,purchased,pre-payment,"558 William Heights
Livingstonbury, VT 56438",bandit B
115,1916,3,5,purchased,pre-payment,"452 Hansen Locks
Hobbsland, HI 50353",bandit B
116,851,2,3,returned,pre-payment,"4653 Chan Walk Suite 280
Kimberlyburgh, MA 44885",bandit A
117,1873,1,5,purchased,pre-payment,"1967 Cheryl Plain Apt. 410
Benjaminstad, AR 51397",bandit A
118,1800,2,3,purchased,pre-payment,"58677 Andrew Turnpike
Barnettville, IA 27676",bandit A
119,1798,1,4,purchased,pre-payment,"321 Skinner Station
Port Charles, VI 13250",bandit A
120,1053,4,3,canceled,pre-payment,"430 Bailey Ford Apt. 609
Katelynborough, CT 15532",bandit B
121,1143,1,4,purchased,post-payment,"029 Rosario Valley Apt. 889
Aaronhaven, CT 15685",bandit C
122,1769,4,3,returned,post-payment,"081 Garcia Mount
Lake Sierraville, MA 91650",bandit C
123,124,3,4,purchased,pre-payment,"220 David Mountain Apt. 459
North Lindahaven, AK 56480",bandit B
124,1510,1,5,canceled,post-payment,"330 Reed Alley Apt. 378
Lopezfurt, NY 31318",bandit C
125,357,1,3,purchased,post-payment,"PSC 9904, Box 6987
APO AP 79511",bandit B
126,976,2,4,returned,post-payment,"1641 Brown Squares Apt. 446
Yuside, VA 02376",bandit C
127,248,2,5,purchased,pre-payment,"1345 King Plains Apt. 704
Bruceshire, WA 82625",bandit B
128,500,3,5,purchased,pre-payment,"PSC 5438, Box 8556
APO AE 22408",bandit B
129,881,3,5,purchased,pre-payment,"38499 Craig Trace Apt. 782
Port Tiffanyshire, MA 22080",bandit B
130,478,4,1,purchased,pre-payment,"94282 Nunez Highway
East Richard, VA 15234",bandit B
131,716,4,1,purchased,post-payment,"5667 Amanda Squares Apt. 963
Lake Loriside, ME 30943",bandit B
132,1263,2,4,purchased,post-payment,"USS Curtis
FPO AP 19140",bandit C
133,1135,2,5,purchased,pre-payment,"USNV Padilla
FPO AE 98110",bandit A
134,1807,1,4,returned,post-payment,"575 Mckenzie Road
South Wesleyburgh, WI 15699",bandit C
135,1600,1,4,purchased,pre-payment,"6474 Kelly Avenue Suite 737
Kevinbury, KY 12268",bandit A
136,923,2,2,purchased,pre-payment,"73495 Hoover Crest
Carrmouth, VA 29543",bandit B
137,856,3,2,canceled,pre-payment,"884 Valerie Plain Apt. 404
Huffport, DC 97105",bandit B
138,568,2,3,purchased,pre-payment,"27398 Cristina Corners
West Victorshire, RI 55982",bandit A
139,390,3,3,purchased,post-payment,"USS Anderson
FPO AE 85655",bandit C
140,1113,1,2,purchased,pre-payment,"34004 Alexander Spur Apt. 886
West Melissafort, WV 01993",bandit B
141,1203,1,5,purchased,post-payment,"62763 Jesus Corners
Brittneyshire, GU 51341",bandit C
142,159,3,3,purchased,pre-payment,"972 Paul Key Suite 416
East Amandatown, KY 43923",bandit A
143,1255,3,4,purchased,post-payment,"0344 Elizabeth Loop Apt. 725
Colemanfort, PR 41558",bandit B
144,1257,4,1,purchased,post-payment,"3252 Hernandez Pines
Shelleyfort, VI 65888",bandit C
145,1195,2,3,purchased,post-payment,"343 Michael Mall Apt. 709
Port Michael, AL 27746",bandit B
146,269,3,4,purchased,post-payment,"80784 Wilson Well Apt. 367
Michellehaven, PA 17494",bandit B
147,1134,2,1,returned,post-payment,"242 David Ways Suite 037
East Suzanne, PR 22869",bandit B
148,1940,1,2,purchased,pre-payment,"5928 Crystal Place
South Hectorshire, PA 24644",bandit B
149,12,2,2,purchased,post-payment,"6230 Teresa Ridge
West Jerryhaven, FL 77016",bandit B
150,1814,3,2,purchased,post-payment,"7861 Timothy Lake Suite 346
New Vernon, ID 95908",bandit C
151,1355,1,4,purchased,pre-payment,"4649 Schmidt Common
Peggyberg, NM 10248",bandit A
152,733,3,1,purchased,pre-payment,"7513 Vega Underpass
Rogersside, WY 76582",bandit B
153,69,2,4,purchased,post-payment,"1420 Erica Centers Apt. 292
Lake Amberport, MI 75188",bandit C
154,1550,4,5,purchased,pre-payment,"PSC 0257, Box 7323
APO AA 36857",bandit B
155,159,1,2,purchased,post-payment,"2194 Bruce Park Apt. 315
Jonathanside, OH 08415",bandit C
156,1708,1,3,canceled,post-payment,"018 John Ramp Apt. 105
Robertsonhaven, HI 35697",bandit C
157,970,1,4,purchased,post-payment,"Unit 1137 Box 0361
DPO AE 08689",bandit C
158,1198,4,3,canceled,pre-payment,"3750 Lisa Village Apt. 048
Williamshaven, AR 99912",bandit A
159,1326,3,3,purchased,post-payment,"98368 Griffin Dam Apt. 423
Kruegertown, RI 61171",bandit C
160,1314,3,2,returned,pre-payment,"95026 Mcdonald Fork
Port Dennis, VA 90294",bandit A
161,1298,4,5,purchased,pre-payment,"97706 Foster Center
Lake Pam, NV 72865",bandit A
162,22,3,1,purchased,post-payment,"0162 Fletcher Trace
Stephanieton, TN 12937",bandit B
163,1887,1,4,purchased,post-payment,"755 Crystal Shoals Apt. 397
Port Bryanview, MP 50405",bandit B
164,1301,4,2,purchased,pre-payment,"2184 Lawson Mount
Johnsonside, CA 97608",bandit A
165,1516,3,2,returned,post-payment,"1164 Cassidy Creek Apt. 492
Port Robin, VT 28367",bandit C
166,441,1,5,purchased,post-payment,"64727 Kaufman Meadows
New Franciscofort, DE 64644",bandit C
167,346,2,1,purchased,pre-payment,"47818 Charles Forges
West Amber, PW 83308",bandit B
168,1907,2,4,canceled,pre-payment,"USS Cooper
FPO AA 53814",bandit A
169,428,4,1,canceled,pre-payment,"9888 Khan Port
North Karen, MH 32939",bandit A
170,1706,3,5,purchased,post-payment,"17414 Daniel Pines
Lake Randymouth, NH 35670",bandit C
171,1063,4,4,purchased,post-payment,"793 Paula Brooks
Williamsberg, TN 70525",bandit B
172,1788,1,4,purchased,pre-payment,"475 Cynthia Crossing
Margaretstad, NY 72769",bandit B
173,936,4,3,canceled,post-payment,"8981 Robert Village Suite 087
South Williamburgh, TN 07221",bandit C
174,1422,1,1,returned,post-payment,"069 Miller Mill
Alicialand, MO 75625",bandit C
175,1156,2,1,purchased,pre-payment,"PSC 8354, Box 2625
APO AA 79141",bandit B
176,410,2,4,purchased,pre-payment,"16940 Latasha Rapids Apt. 548
Port April, WI 81046",bandit A
177,86,2,4,purchased,pre-payment,"34615 Simmons Plains
North Gabrielstad, UT 00721",bandit B
178,1121,2,3,canceled,post-payment,"36808 May Views
Tiffanymouth, NY 23809",bandit C
179,1599,2,4,purchased,pre-payment,"8791 Levine Underpass Apt. 081
Nicholasville, WY 63169",bandit A
180,1345,2,3,returned,post-payment,"236 Buchanan Plains Apt. 755
Port Danielberg, TX 17956",bandit B
181,270,3,4,purchased,post-payment,"16545 Sarah Valley
North Josephmouth, MS 01218",bandit B
182,263,2,1,purchased,pre-payment,"683 Michelle Knoll Apt. 041
Jenniferstad, LA 51676",bandit B
183,1045,4,4,purchased,post-payment,"699 Walton Mountain Apt. 822
Monicaview, IN 68314",bandit B
184,1247,3,1,purchased,pre-payment,"5650 Laura Pass Suite 352
Dixonport, OH 44520",bandit B
185,1807,2,3,purchased,post-payment,"4037 Daniel Falls
Michelleport, SD 81948",bandit C
186,606,1,5,purchased,post-payment,"079 Arnold Glens
Smithborough, PW 28072",bandit B
187,1526,4,3,purchased,pre-payment,"0408 April Island Apt. 163
Port Nancy, NY 15640",bandit A
188,1781,2,5,purchased,post-payment,"0363 Nelson Heights
Jensenmouth, SC 08273",bandit C
189,389,4,5,purchased,pre-payment,"520 Young Glen Apt. 062
Jamesview, NC 79188",bandit A
190,405,1,2,purchased,post-payment,"925 Hannah Springs Apt. 255
Laraport, NH 50778",bandit C
191,41,1,2,returned,post-payment,"Unit 9591 Box 7697
DPO AA 75141",bandit B
192,950,1,5,purchased,pre-payment,"06191 Wood Hills
Davidville, OK 05605",bandit A
193,1980,1,3,purchased,post-payment,"6747 Gregory Causeway Suite 293
New Jamesview, AS 28556",bandit C
194,1293,3,2,purchased,post-payment,"USNV Clark
FPO AE 93950",bandit C
195,66,3,2,returned,pre-payment,"PSC 8271, Box 9600
APO AA 30773",bandit A
196,1727,1,1,purchased,pre-payment,"0248 Bryan Brook
Claytontown, DE 92024",bandit A
197,1717,1,3,returned,post-payment,"450 Daisy Mews Suite 174
Kaitlynport, SD 39186",bandit C
198,587,3,3,purchased,pre-payment,"5814 Everett Walk Suite 366
North Dawn, KS 87744",bandit B
199,1880,1,3,purchased,pre-payment,"731 Schmidt Divide Suite 698
Walkerchester, OR 97197",bandit A
200,1710,2,5,purchased,pre-payment,"48664 Tracy Lodge Suite 393
Bryanville, TX 77929",bandit A
201,1103,3,5,returned,post-payment,"962 Sandoval Alley
Laurenchester, OH 91075",bandit B
202,790,2,2,purchased,post-payment,"12125 Denise Hill
Hortonville, IA 89316",bandit B
203,1521,4,2,purchased,pre-payment,"257 Erika Road Apt. 609
Amyberg, AZ 84460",bandit B
204,1594,3,4,canceled,post-payment,"875 Carey Green
West Rachael, NE 95592",bandit B
205,179,3,5,purchased,post-payment,"9296 Nicholas Lodge
Gilberttown, LA 22379",bandit C
206,805,1,4,purchased,pre-payment,"67466 Nicholson Route Apt. 048
Carrieville, ID 43495",bandit A
207,221,4,2,purchased,post-payment,"27331 Michael Bypass
Gentrymouth, GU 28906",bandit B
208,1983,2,2,purchased,post-payment,"251 Harold Trafficway Suite 085
West Stacybury, GA 31099",bandit C
209,1708,3,4,purchased,pre-payment,"537 Malone Avenue Suite 868
Murrayborough, GA 89588",bandit B
210,1747,2,1,purchased,pre-payment,"0091 Trevor Lake Apt. 353
West Frederickstad, LA 35874",bandit A
211,745,3,2,purchased,pre-payment,"51574 Alexis Pass Suite 362
Williamsborough, GU 34902",bandit A
212,1267,2,4,purchased,post-payment,"7299 Philip Springs
Jeanshire, GA 70240",bandit B
213,1471,2,3,purchased,post-payment,"090 John Flats
Samanthabury, AZ 08607",bandit B
214,762,3,1,purchased,pre-payment,"21795 Shannon Station Apt. 671
Kristenmouth, MI 90285",bandit B
215,415,1,1,canceled,post-payment,"61531 Heather Trail
North Matthewchester, KS 36882",bandit C
216,1418,4,1,purchased,post-payment,"4136 Marvin Orchard
South Robert, VI 40545",bandit B
217,369,3,1,purchased,post-payment,"43323 Ayers Loaf
Collinshaven, NY 28247",bandit B
218,1990,2,5,canceled,pre-payment,"8474 Gibson Club
Lake Katherine, AS 27432",bandit B
219,1402,1,3,purchased,post-payment,"2010 Fletcher Lights
Cruzview, WV 13609",bandit B
220,754,3,3,purchased,post-payment,"2251 John Row Apt. 546
New Patrick, ME 19102",bandit C
221,1842,3,2,purchased,pre-payment,"967 Rivera Harbors
Lydiaton, WA 19855",bandit A
222,317,3,4,purchased,pre-payment,"468 Reed Square Suite 650
Collinsside, OH 99761",bandit B
223,1341,2,1,purchased,pre-payment,"USS Sanchez
FPO AP 31136",bandit B
224,534,4,2,returned,pre-payment,"9760 Garrison Shoals
Lake Shelley, AK 69390",bandit B
225,1107,4,3,purchased,pre-payment,"4928 Edwards Flats Apt. 763
North Pamela, IN 48139",bandit B
226,17,2,5,returned,post-payment,"24178 Bailey Mountains
Harperside, VI 20920",bandit C
227,109,4,3,canceled,pre-payment,"6055 Daniel Plains
Alexanderton, DE 13511",bandit B
228,637,1,4,canceled,pre-payment,"528 Adams Divide
Port Kathryn, NV 46203",bandit A
229,1535,2,1,purchased,pre-payment,"32356 Hernandez Spur
Port Michael, DC 79034",bandit A
230,1990,2,2,returned,pre-payment,"3368 Deleon Haven
West Rachaeltown, UT 16325",bandit B
231,31,3,4,purchased,post-payment,"947 Kathleen Prairie Apt. 872
West Sergio, OR 51139",bandit C
232,52,3,2,purchased,pre-payment,"19622 Julia Place
Davidshire, VT 10497",bandit A
233,133,4,2,purchased,post-payment,"619 Mcconnell Light Apt. 312
North Davidmouth, MT 31330",bandit B
234,434,4,4,purchased,pre-payment,"8427 Mason Inlet Apt. 638
Taylorchester, IA 93451",bandit B
235,1758,3,1,returned,pre-payment,"468 Berry Courts
Brennanhaven, SC 39853",bandit A
236,1576,1,5,purchased,post-payment,"3379 Jonathan Centers
Lake Andrewton, WA 82869",bandit C
237,834,2,4,returned,pre-payment,"66871 Molina Islands
Chavezmouth, CO 17903",bandit A
238,1267,2,2,purchased,pre-payment,"79800 Laura Unions Apt. 546
West Joshualand, FL 00950",bandit A
239,489,4,3,purchased,pre-payment,"66964 Williams Lodge Apt. 537
Denniston, FL 02802",bandit B
240,489,2,5,canceled,post-payment,"258 Matthew Cove Apt. 044
Port Linda, WV 93810",bandit B
241,965,2,5,canceled,pre-payment,"PSC 3883, Box 8495
APO AE 92914",bandit B
242,238,1,2,purchased,pre-payment,"21148 Wilson Alley Suite 169
Kyliemouth, NE 13657",bandit B
243,1182,2,5,purchased,post-payment,"911 Rice Fork Apt. 819
Stevenside, FL 87940",bandit C
244,725,3,1,purchased,pre-payment,"59459 Johnny Crest Suite 616
Smithfurt, WV 48653",bandit B
245,135,3,2,purchased,post-payment,"7312 Hall Orchard Suite 170
New Sabrina, RI 54803",bandit B
246,908,3,3,returned,pre-payment,"53116 Holt Garden Suite 631
Lake Jessicafort, MP 12085",bandit A
247,1742,2,2,canceled,pre-payment,"701 Murphy Mall
Larsonmouth, VI 50146",bandit A
248,1412,1,4,purchased,pre-payment,"PSC 6465, Box 6534
APO AP 01535",bandit A
249,1878,3,4,canceled,post-payment,"5463 Price Ford Apt. 238
North Evelyn, PA 18855",bandit C
250,384,3,1,purchased,post-payment,"USCGC Gregory
FPO AP 63044",bandit B
251,163,2,2,purchased,post-payment,"191 Melissa Curve
West Jonathan, IN 48377",bandit B
252,274,4,3,purchased,post-payment,"748 Luna Crest Suite 632
Wellsfurt, MO 30090",bandit C
253,899,4,4,canceled,pre-payment,"64123 Smith Causeway
West Phillip, TN 46739",bandit A
254,1408,2,5,purchased,post-payment,"7400 Nicholson Square
Seanport, KS 28375",bandit C
255,92,2,3,purchased,pre-payment,"1085 Gomez Divide
Chavezhaven, NM 30865",bandit B
256,1211,1,4,purchased,pre-payment,"783 Henson Parkways Suite 513
Saundersbury, RI 89534",bandit B
257,190,3,4,canceled,pre-payment,"02496 Hart Divide
Aguilarborough, ID 02117",bandit B
258,268,2,1,purchased,pre-payment,"63254 Veronica Wall
Davismouth, WI 56262",bandit A
259,1248,2,1,purchased,post-payment,"226 Roberts Lodge
Colemanfort, VI 33903",bandit C
260,1548,2,5,purchased,pre-payment,"22029 Steven Street
East Ericaview, GA 10544",bandit A
261,1943,1,2,purchased,post-payment,"00651 Blake Roads
Brendaberg, WV 45794",bandit B
262,1903,4,1,purchased,pre-payment,"323 Allison Flats
Wilsonside, CA 28828",bandit B
263,1706,2,1,purchased,pre-payment,"765 Alexandra Drive Suite 175
South Vincentfurt, AS 31292",bandit A
264,20,4,1,purchased,post-payment,"2316 Robin Inlet Apt. 042
Lake James, WA 97349",bandit B
265,1993,1,4,purchased,post-payment,"295 Osborn Stravenue Suite 970
Coleborough, CT 51837",bandit B
266,1689,4,3,purchased,pre-payment,"214 James Lodge Suite 838
Whitneyhaven, MP 34410",bandit A
267,910,1,5,purchased,post-payment,"1705 Harris Shore Apt. 892
Meganhaven, VT 96062",bandit B
268,639,2,3,returned,post-payment,"PSC 0748, Box 1142
APO AE 31876",bandit C
269,245,4,2,purchased,post-payment,"273 Sydney Curve Suite 583
Clarkside, MP 33835",bandit B
270,1760,1,2,purchased,pre-payment,"41583 Rose Court
Kathrynmouth, MP 67768",bandit A
271,271,3,5,purchased,post-payment,"794 Ronald Glens
Johnsonmouth, UT 35307",bandit B
272,1989,2,4,purchased,post-payment,"50759 Becker Square
West Anthonyfort, IL 11958",bandit B
273,572,3,2,purchased,post-payment,"3543 Juan Mission
Matthewmouth, OR 02838",bandit C
274,1440,3,2,purchased,post-payment,"2541 Jenkins Isle
New Terrence, UT 73197",bandit C
275,1514,1,5,purchased,post-payment,"Unit 0794 Box 0507
DPO AA 22937",bandit C
276,303,3,5,purchased,pre-payment,"949 Harper Knolls Apt. 098
Port Renee, ID 56901",bandit A
277,1328,3,1,purchased,post-payment,"110 Mary Valleys
Lake Amandamouth, VI 38448",bandit B
278,403,1,1,purchased,post-payment,"6216 Lang Ways Apt. 403
North Edward, DE 35787",bandit B
279,736,3,2,canceled,pre-payment,"53447 Jesse Circle
East Tina, WY 63813",bandit B
280,1569,2,2,purchased,post-payment,"291 Danny Ports Apt. 952
South Samanthastad, ND 23240",bandit B
281,596,2,1,returned,post-payment,"9484 Booth Ville
East Arielmouth, IA 01231",bandit C
282,1259,2,4,canceled,pre-payment,"2850 Shaffer Manor
East Kennethville, KS 72866",bandit B
